Date_reported,Country,New_cases
2020-06-16,Canada,377
2020-06-17,Canada,360
2020-06-18,Canada,320
2020-06-19,Canada,386
2020-06-20,Canada,367
2020-06-21,Canada,409
2020-06-22,Canada,390
2020-06-23,Canada,318
2020-06-24,Canada,300
2020-06-25,Canada,326
2020-06-26,Canada,279
2020-06-27,Canada,380
2020-06-28,Canada,172
2020-06-29,Canada,238
2020-06-30,Canada,218
2020-07-01,Canada,668
2020-07-02,Canada,286
2020-07-03,Canada,0
2020-07-04,Canada,568
2020-07-05,Canada,319
2020-07-06,Canada,226
2020-07-07,Canada,219
2020-07-08,Canada,399
2020-07-09,Canada,232
2020-07-10,Canada,267
2020-07-11,Canada,371
2020-07-12,Canada,321
2020-07-13,Canada,221
2020-07-14,Canada,243
2020-07-15,Canada,565
2020-07-16,Canada,331
2020-07-17,Canada,343
2020-07-18,Canada,435
2020-07-19,Canada,405
2020-07-20,Canada,330
2020-07-21,Canada,339
2020-07-22,Canada,786
2020-07-23,Canada,573
2020-07-24,Canada,543
2020-07-25,Canada,432
2020-07-26,Canada,534
2020-07-27,Canada,350
2020-07-28,Canada,355
2020-07-29,Canada,686
2020-07-30,Canada,397
2020-07-31,Canada,476
2020-08-01,Canada,329
2020-08-02,Canada,513
2020-08-03,Canada,287
2020-08-04,Canada,285
2020-08-05,Canada,147
2020-08-06,Canada,761
2020-08-07,Canada,395
2020-08-08,Canada,374
2020-08-09,Canada,424
2020-08-10,Canada,236
2020-08-11,Canada,230
2020-08-12,Canada,681
2020-08-13,Canada,289
2020-08-14,Canada,423
2020-08-15,Canada,390
2020-08-16,Canada,418
2020-08-17,Canada,237
2020-08-18,Canada,198
2020-08-19,Canada,785
2020-08-20,Canada,282
2020-08-21,Canada,336
2020-08-22,Canada,383
2020-08-23,Canada,499
2020-08-24,Canada,257
2020-08-25,Canada,267
2020-08-26,Canada,751
2020-08-27,Canada,322
2020-08-28,Canada,448
2020-08-29,Canada,431
2020-08-30,Canada,510
2020-08-31,Canada,315
2020-09-01,Canada,267
2020-09-02,Canada,1008
2020-09-03,Canada,477
2020-09-04,Canada,498
2020-09-05,Canada,570
2020-09-06,Canada,631
2020-09-07,Canada,371
2020-09-08,Canada,400
2020-09-09,Canada,247
2020-09-10,Canada,1606
2020-09-11,Canada,546
2020-09-12,Canada,630
2020-09-13,Canada,702
2020-09-14,Canada,515
2020-09-15,Canada,518
2020-09-16,Canada,1351
2020-09-17,Canada,793
2020-09-18,Canada,944
2020-09-19,Canada,1120
2020-09-20,Canada,1044
2020-09-21,Canada,863
2020-09-22,Canada,875
2020-09-23,Canada,1766
2020-09-24,Canada,1248
2020-09-25,Canada,1090
2020-09-26,Canada,1341
2020-09-27,Canada,1362
2020-09-28,Canada,1215
2020-09-29,Canada,1454
2020-09-30,Canada,2176
2020-10-01,Canada,1660
2020-10-02,Canada,1797
2020-10-03,Canada,1777
2020-10-04,Canada,2124
2020-10-05,Canada,1812
2020-10-06,Canada,1685
2020-10-07,Canada,2804
2020-10-08,Canada,2363
2020-10-09,Canada,1800
2020-10-10,Canada,2436
2020-10-11,Canada,2558
2020-10-12,Canada,2062
2020-10-13,Canada,1685
2020-10-14,Canada,975
2020-10-15,Canada,4042
2020-10-16,Canada,2506
2020-10-17,Canada,2345
2020-10-18,Canada,2374
2020-10-19,Canada,2215
2020-10-20,Canada,1827
2020-10-21,Canada,3289
2020-10-22,Canada,2251
2020-10-23,Canada,2672
2020-10-24,Canada,2788
2020-10-25,Canada,2584
2020-10-26,Canada,2227
2020-10-27,Canada,2145
2020-10-28,Canada,4109
2020-10-29,Canada,2674
2020-10-30,Canada,2699
2020-10-31,Canada,2956
2020-11-01,Canada,3457
2020-11-02,Canada,2512
2020-11-03,Canada,2330
2020-11-04,Canada,3422
2020-11-05,Canada,4672
2020-11-06,Canada,2768
2020-11-07,Canada,3635
2020-11-08,Canada,4471
2020-11-09,Canada,4246
2020-11-10,Canada,4058
2020-11-11,Canada,4622
2020-11-12,Canada,4302
2020-11-13,Canada,4024
2020-11-14,Canada,5516
2020-11-15,Canada,4741
2020-11-16,Canada,4613
2020-11-17,Canada,4146
2020-11-18,Canada,6115
2020-11-19,Canada,4276
2020-11-20,Canada,4641
2020-11-21,Canada,4642
2020-11-22,Canada,4968
2020-11-23,Canada,4992
2020-11-24,Canada,4792
2020-11-25,Canada,7052
2020-11-26,Canada,4889
2020-11-27,Canada,5022
2020-11-28,Canada,5631
2020-11-29,Canada,5967
2020-11-30,Canada,5746
2020-12-01,Canada,5468
2020-12-02,Canada,7861
2020-12-03,Canada,5329
2020-12-04,Canada,6307
2020-12-05,Canada,6495
2020-12-06,Canada,6299
2020-12-07,Canada,6352
2020-12-08,Canada,6261
2020-12-09,Canada,7872
2020-12-10,Canada,5981
2020-12-11,Canada,6295
2020-12-12,Canada,6739
2020-12-13,Canada,6772
2020-12-14,Canada,6011
2020-12-15,Canada,5891
2020-12-16,Canada,8119
2020-12-17,Canada,6352
2020-12-18,Canada,6416
2020-12-19,Canada,7008
2020-12-20,Canada,6708
2020-12-21,Canada,6248
2020-12-22,Canada,6201
2020-12-23,Canada,7519
2020-12-24,Canada,6195
2020-12-25,Canada,6845
2020-12-26,Canada,6889
2020-12-27,Canada,1430
2020-12-28,Canada,9827
2020-12-29,Canada,6774
2020-12-30,Canada,5790
2020-12-31,Canada,6442
2021-01-01,Canada,7476
2021-01-02,Canada,8420
2021-01-03,Canada,6875
2021-01-04,Canada,6808
2021-01-05,Canada,6578
2021-01-06,Canada,9761
2021-01-07,Canada,7222
2021-01-08,Canada,8153
2021-01-09,Canada,8335
